threshold,n_flagged,tp,fp,fn,tn,precision,recall,f1,mcc,fpr,experiment,mode,k
0.9400000000000001,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.96,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.98,3490,1118,2372,382,46128,0.32034383954154727,0.7453333333333333,0.44809619238476955,0.46623585054056127,0.04890721649484536,knn_defense_cifar_1xs_1500_remove_k1,remove,1
1.0,0,0,0,1500,48500,,0.0,0.0,0.0,0.0,knn_defense_cifar_1xs_1500_remove_k1,remove,1
0.0,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.02,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.04,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.06,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.08,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.1,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.12,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.14,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.16,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.18,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.2,8607,1485,7122,15,41378,0.17253398396653885,0.99,0.29385574354407834,0.38100824994179666,0.14684536082474225,knn_defense_cifar_1xs_1500_none_k5,none,5
0.22,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.24,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
0.26,4976,1422,3554,78,44946,0.2857717041800643,0.948,0.43915997529339096,0.4984529270297065,0.07327835051546391,knn_defense_cifar_1xs_1500_none_k5,none,5
